LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,YrSold,MoSold,SalePrice,HouseAge,RemodAge,TotalSF,TotalBath,PricePerSqFt
11248,9,5,2002,2002,1626,1668,0,1668,2,0,3,7,1,3,702,257,45,0,2007,7,285000,5,5,3294,2.0,170.86330935251797
15870,5,5,1969,1969,1096,1096,0,1096,1,0,3,6,0,1,299,240,32,0,2006,3,138800,37,37,2192,1.0,126.64233576642336
11988,6,7,1934,1995,715,849,811,1660,1,1,3,6,1,1,240,0,0,0,2008,8,188700,74,13,2375,1.5,113.67469879518072
7200,7,6,1931,2000,776,851,651,1502,1,1,3,6,1,1,270,0,0,0,2008,2,149000,77,8,2278,1.5,99.20106524633822
9600,4,7,1950,1995,1067,1067,0,1067,2,0,2,4,0,2,436,290,0,0,2010,2,128000,60,15,2134,2.0,119.96251171508904
1680,6,5,1973,1973,483,483,504,987,1,1,2,5,0,1,264,0,0,0,2008,11,100000,35,35,1470,1.5,101.31712259371834
11317,7,5,2003,2003,840,840,828,1668,2,1,3,8,0,2,500,144,68,0,2007,9,180000,4,4,2508,2.5,107.9136690647482
12137,7,5,1998,1998,1649,1661,0,1661,2,0,3,6,0,2,598,0,34,0,2010,5,224900,12,12,3310,2.0,135.4003612281758
10206,3,3,1952,1952,0,944,0,944,1,0,2,4,0,2,528,0,0,0,2009,7,82000,57,57,944,1.0,86.86440677966101
14536,8,5,2002,2003,1616,1629,0,1629,2,0,3,9,1,3,808,0,252,0,2007,11,270000,5,4,3245,2.0,165.74585635359117
9480,5,7,1942,1995,728,888,756,1644,1,1,3,7,2,1,312,168,0,0,2007,6,146500,65,12,2372,1.5,89.11192214111922
10084,8,5,2004,2005,1686,1694,0,1694,2,0,3,7,1,2,636,255,57,0,2007,8,307000,3,2,3380,2.0,181.22786304604486
4426,6,5,2004,2004,848,848,0,848,1,0,1,3,0,2,420,160,0,0,2010,5,143000,6,6,1696,1.0,168.6320754716981
12085,8,5,2007,2007,1734,1734,0,1734,2,0,3,7,1,3,928,0,0,0,2007,11,318000,0,0,3468,2.0,183.3910034602076
8777,5,7,1910,1950,796,796,0,796,1,0,2,4,0,0,0,328,0,0,2008,5,85000,98,58,1592,1.0,106.78391959798995
11911,6,5,2005,2005,684,684,876,1560,2,1,3,6,1,2,400,100,38,0,2009,3,174000,4,4,2244,2.5,111.53846153846153
17920,5,4,1955,1974,1763,1779,0,1779,1,1,3,6,1,2,454,0,418,0,2006,7,170000,51,32,3542,1.5,95.5593029792018
13125,6,5,1997,1998,1478,1493,0,1493,2,0,3,7,1,2,508,140,39,0,2008,4,208900,11,10,2971,2.0,139.91962491627595
8760,7,5,2006,2006,1391,1391,571,1962,2,1,3,7,0,3,868,0,90,0,2006,8,239799,0,0,3353,2.5,122.2217125382263
10440,5,8,1904,2002,650,958,581,1539,2,0,3,8,1,2,686,70,78,0,2008,6,157500,104,6,2189,2.0,102.3391812865497
14200,7,6,1966,1966,924,1216,941,2157,2,1,4,8,2,2,487,105,66,0,2006,5,226000,40,40,3081,2.5,104.77515067222996
8544,3,4,1949,1950,0,1040,0,1040,2,0,2,6,0,2,400,0,0,0,2006,5,87500,57,56,1040,2.0,84.13461538461539
3684,7,5,2007,2007,1373,1555,0,1555,2,0,2,7,1,3,660,143,20,0,2009,6,174000,2,2,2928,2.0,111.89710610932475
8000,6,6,1948,2002,972,972,0,972,1,0,2,5,1,1,240,0,0,0,2009,5,132000,61,7,1944,1.0,135.80246913580248
11250,7,5,2001,2002,920,920,866,1786,2,1,3,6,1,2,608,0,42,0,2008,9,223500,7,6,2706,2.5,125.13997760358343
7056,6,5,1963,1963,780,983,813,1796,1,1,4,8,1,2,483,0,50,0,2008,10,140000,45,45,2576,1.5,77.95100222717149
22420,6,6,1918,1950,1370,1370,1254,2624,2,1,4,10,1,3,864,0,0,0,2007,11,239000,89,57,3994,2.5,91.08231707317073
5232,5,5,1925,2004,680,764,0,764,1,0,2,4,0,2,504,0,0,0,2008,6,73000,83,4,1444,1.0,95.54973821989529
8089,8,6,2007,2007,1419,1419,0,1419,2,0,2,7,1,2,567,140,0,0,2007,10,392000,0,0,2838,2.0,276.2508809020437
9000,6,3,1928,1950,784,784,0,784,1,0,2,5,0,2,360,0,0,0,2009,10,76000,81,59,1568,1.0,96.93877551020408
11210,7,5,2005,2006,1614,1614,0,1614,2,0,3,7,0,3,865,144,59,0,2006,7,221500,1,0,3228,2.0,137.23667905824038
6970,4,5,1961,1961,1040,1120,0,1120,1,1,3,5,0,2,544,168,0,0,2007,5,129000,46,46,2160,1.5,115.17857142857143
12936,6,6,1972,1972,723,735,660,1395,1,1,3,6,1,2,497,294,116,0,2009,12,162000,37,37,2118,1.5,116.12903225806451
8846,5,5,1996,1996,870,914,0,914,1,0,2,5,0,2,576,0,0,0,2006,7,148000,10,10,1784,1.0,161.92560175054706
4251,7,5,2006,2007,625,625,625,1250,2,1,2,5,0,2,528,0,54,0,2007,6,164700,1,0,1875,2.5,131.76
6000,4,4,1953,1953,936,936,0,936,1,0,2,4,0,2,576,0,32,0,2009,2,93000,56,56,1872,1.0,99.35897435897436
11639,7,5,2007,2008,1428,1428,0,1428,2,0,3,6,0,2,480,0,120,0,2008,12,182000,1,0,2856,2.0,127.45098039215686
16059,8,5,1991,1992,1288,1301,1116,2417,2,1,4,9,1,2,462,127,82,0,2006,4,260000,15,14,3705,2.5,107.57136946628052
11249,6,5,1995,1995,1200,1200,0,1200,2,0,3,6,0,2,521,0,26,0,2007,8,177500,12,12,2400,2.0,147.91666666666666
8520,5,6,1923,2006,968,968,0,968,1,0,2,5,0,2,480,0,0,0,2007,7,100000,84,1,1936,1.0,103.30578512396694
8750,7,5,1996,1996,880,909,807,1716,2,1,2,7,1,2,512,0,120,0,2009,7,191000,13,13,2596,2.5,111.3053613053613
11600,6,5,1960,1960,1383,1383,0,1383,1,1,3,7,0,1,292,0,45,0,2006,4,145250,46,46,2766,1.5,105.02530730296456
5330,4,7,1940,1950,420,708,0,708,1,0,2,5,0,0,0,164,0,0,2009,12,82500,69,59,1128,1.0,116.52542372881356
25286,4,5,1963,1963,1064,1040,0,1040,1,0,3,5,0,2,648,0,0,0,2007,1,132250,44,44,2104,1.0,127.16346153846153
8500,7,5,2004,2004,1422,1422,0,1422,2,0,3,7,0,2,626,192,60,0,2007,11,179600,3,3,2844,2.0,126.30098452883263
2522,6,5,2004,2006,970,970,739,1709,2,0,3,7,0,2,380,0,40,0,2006,4,130000,2,0,2679,2.0,76.06787595084845
9204,5,5,1963,1963,1144,1144,0,1144,1,1,3,6,0,1,336,0,88,0,2008,8,124000,45,45,2288,1.5,108.39160839160839
5684,6,8,1930,2005,813,813,0,813,1,0,2,5,0,1,270,0,113,0,2006,6,110000,76,1,1626,1.0,135.30135301353013
10020,1,1,1922,1950,683,904,0,904,0,1,1,4,0,0,0,0,0,0,2009,3,61000,87,59,1587,0.5,67.47787610619469
8450,7,5,2003,2003,856,856,854,1710,2,1,3,8,0,2,548,0,61,0,2008,2,208500,5,5,2566,2.5,121.9298245614035
11287,7,6,1989,1989,807,1175,807,1982,2,1,3,7,1,2,575,0,84,0,2007,1,228500,18,18,2789,2.5,115.28758829465187
6380,5,6,1922,1950,993,1048,0,1048,1,0,2,5,1,1,280,0,0,0,2006,8,113000,84,56,2041,1.0,107.82442748091603
12180,4,4,1941,1950,672,672,252,924,1,0,2,5,0,1,280,0,0,0,2010,7,80000,69,60,1596,1.0,86.58008658008659
8520,6,7,1916,1950,714,1664,862,2526,2,0,5,10,1,1,216,88,15,0,2007,8,136000,91,57,3240,2.0,53.84006334125099
16381,6,5,1969,1969,1844,1844,0,1844,2,0,3,7,1,2,540,0,73,0,2006,12,223000,37,37,3688,2.0,120.93275488069415
7100,5,7,1957,1957,816,816,0,816,1,0,2,5,0,1,308,0,0,0,2006,7,129900,49,49,1632,1.0,159.19117647058823
5664,8,5,2000,2000,1501,1659,0,1659,2,0,2,5,1,2,499,212,59,0,2009,10,278000,9,9,3160,2.0,167.5708257986739
6858,6,4,1915,1950,806,841,806,1647,1,1,4,6,0,1,216,0,66,0,2010,5,128000,95,60,2453,1.5,77.7170613236187
9790,6,5,1963,1963,1328,1328,0,1328,1,1,3,6,2,2,528,0,26,0,2010,6,143000,47,47,2656,1.5,107.68072289156626
13891,9,5,2008,2009,1734,1734,1088,2822,3,1,4,12,1,3,1020,52,170,0,2009,1,582933,1,0,4556,3.5,206.5673281360737
9600,5,7,1910,2002,264,768,664,1432,2,0,2,7,0,2,360,270,0,0,2007,5,132000,97,5,1696,2.0,92.17877094972067
4435,6,5,2003,2003,848,848,0,848,1,0,1,4,0,2,420,140,0,0,2009,5,140000,6,6,1696,1.0,165.0943396226415
7150,5,5,1967,1967,892,892,0,892,1,0,3,5,0,1,288,0,0,0,2009,7,100000,42,42,1784,1.0,112.10762331838565
12203,8,5,1998,1999,1225,1276,1336,2612,2,1,4,8,1,3,676,250,0,0,2009,7,336000,11,10,3837,2.5,128.63705972434917
8070,4,5,1994,1995,990,990,0,990,1,0,3,5,0,0,0,0,0,0,2007,8,123600,13,12,1980,1.0,124.84848484848484
3842,8,5,2004,2005,1594,1646,0,1646,2,0,2,5,1,2,482,128,53,0,2008,1,275000,4,3,3240,2.0,167.07168894289185
7800,5,6,1954,1954,1268,1268,0,1268,1,0,2,7,1,1,244,0,98,0,2010,3,132000,56,56,2536,1.0,104.10094637223975
13710,5,5,1950,1950,910,910,648,1558,1,1,4,6,0,1,282,289,0,0,2007,6,152000,57,57,2468,1.5,97.5609756097561
3363,7,5,2004,2004,976,976,732,1708,2,0,3,7,0,2,380,0,40,0,2006,4,130000,2,2,2684,2.0,76.11241217798595
7658,9,5,2005,2005,1752,1752,0,1752,2,0,2,6,1,2,576,196,82,0,2010,2,319900,5,5,3504,2.0,182.59132420091325
11096,8,5,2006,2006,1656,1656,0,1656,2,0,3,7,0,3,826,0,146,0,2007,7,249700,1,1,3312,2.0,150.78502415458937
7200,5,7,1951,2000,900,900,0,900,1,0,3,5,0,2,576,222,32,0,2010,5,134800,59,10,1800,1.0,149.77777777777777
10140,7,5,1998,1999,1650,1680,0,1680,2,0,3,7,1,2,583,78,73,0,2009,6,213250,11,10,3330,2.0,126.93452380952381
3696,8,5,1986,1986,1074,1088,0,1088,1,1,2,5,0,2,461,0,74,0,2007,10,170000,21,21,2162,1.5,156.25
14892,9,5,2006,2007,1746,1746,0,1746,2,0,3,7,2,3,758,201,39,0,2009,10,377500,3,2,3492,2.0,216.20847651775486
6402,5,5,1920,1950,596,596,596,1192,1,0,3,6,0,1,189,0,0,0,2009,7,78000,89,59,1788,1.0,65.43624161073825
7599,4,6,1982,2006,845,845,0,845,1,0,2,4,0,2,360,0,0,0,2007,6,129500,25,1,1690,1.0,153.25443786982248
10800,7,7,1914,1970,880,880,888,1768,1,1,2,6,2,2,320,0,341,0,2006,10,163000,92,36,2648,1.5,92.1945701357466
11214,7,5,1998,1999,930,956,930,1886,2,1,4,10,1,2,431,89,0,0,2006,7,199900,8,7,2816,2.5,105.9915164369035
16669,8,6,1981,1981,1686,1707,0,1707,2,1,2,6,1,2,511,574,64,0,2006,1,228000,25,25,3393,2.5,133.5676625659051
6820,8,5,1985,1985,1488,1502,0,1502,1,1,1,4,0,2,528,0,54,0,2010,6,212000,25,25,2990,1.5,141.1451398135819
8525,5,6,1911,1950,940,1024,940,1964,1,1,4,7,0,0,0,0,192,0,2008,11,130000,97,58,2904,1.5,66.19144602851324
11394,9,2,2010,2010,1856,1856,0,1856,1,1,1,8,1,3,834,113,0,0,2010,6,394432,0,0,3712,1.5,212.51724137931035
10200,6,5,1988,1989,1461,1509,0,1509,2,0,3,5,1,2,600,224,0,0,2008,8,175000,20,19,2970,2.0,115.97084161696488
7000,5,8,1978,2005,864,864,0,864,1,0,3,6,0,1,336,0,0,0,2009,7,136500,31,4,1728,1.0,157.98611111111111
8450,5,8,1965,2009,894,894,0,894,1,0,3,5,1,1,336,416,144,0,2010,4,138500,45,1,1788,1.0,154.92170022371366
7540,6,6,1978,1978,888,912,0,912,1,0,2,5,1,2,470,0,0,0,2007,6,156000,29,29,1800,1.0,171.05263157894737
9855,6,5,1956,1956,1436,1689,0,1689,1,0,3,7,1,2,480,0,0,0,2009,11,127500,53,53,3125,1.0,75.48845470692717
8400,2,5,1920,1950,290,438,0,438,1,0,1,3,0,1,246,0,0,0,2009,1,60000,89,59,728,1.0,136.986301369863
5000,5,6,1941,1950,720,803,0,803,1,0,2,5,0,2,360,0,0,0,2007,12,87000,66,57,1523,1.0,108.34371108343711
9247,6,6,1962,1962,858,858,858,1716,1,1,4,8,1,2,490,0,84,0,2008,3,171000,46,46,2574,1.5,99.65034965034965
6120,5,7,1925,1950,768,1015,0,1015,1,0,3,6,0,1,450,0,0,0,2006,7,88000,81,56,1783,1.0,86.69950738916256
11478,8,5,2007,2008,1704,1704,0,1704,2,0,3,7,1,3,772,0,50,0,2010,5,306000,3,2,3408,2.0,179.57746478873239
14601,9,5,2006,2006,1838,1838,0,1838,2,0,2,8,1,3,765,270,68,0,2009,3,315000,3,3,3676,2.0,171.38193688792165
12435,7,5,2001,2001,963,963,829,1792,2,1,3,7,1,2,564,0,96,0,2008,5,231500,7,7,2755,2.5,129.18526785714286
7700,6,5,1966,1966,756,1051,788,1839,1,1,4,7,1,2,442,0,124,0,2010,6,155000,44,44,2595,1.5,84.28493746601414
9375,7,5,2003,2004,912,912,1182,2094,2,1,4,8,1,2,615,182,182,0,2009,11,263000,6,5,3006,2.5,125.59694364851958
10207,7,6,2007,2007,874,874,887,1761,3,0,3,7,0,2,578,144,105,0,2007,8,227875,0,0,2635,3.0,129.40090857467348
8400,4,4,1950,1950,721,841,0,841,1,0,2,4,0,1,294,250,0,0,2009,9,82000,59,59,1562,1.0,97.50297265160523
9187,9,5,2009,2009,1766,1766,0,1766,2,1,2,7,1,3,478,195,130,0,2009,10,370878,0,0,3532,2.5,210.0101925254813
7758,5,7,1962,2001,999,999,0,999,1,0,3,6,0,1,264,0,132,0,2007,3,132500,45,6,1998,1.0,132.63263263263264
12665,5,8,1915,1950,876,876,540,1416,1,1,4,7,1,3,720,418,0,0,2008,6,153900,93,58,2292,1.5,108.6864406779661
8556,7,5,2006,2006,1240,1240,0,1240,2,0,2,5,0,3,826,140,93,0,2007,5,194000,1,1,2480,2.0,156.4516129032258
8777,5,7,1900,2003,1272,1272,928,2200,2,2,4,9,0,0,0,0,70,0,2008,9,145900,108,5,3472,3.0,66.31818181818181
8544,5,6,1966,2006,1228,1228,0,1228,1,1,3,6,0,1,271,0,65,0,2008,6,149350,42,2,2456,1.5,121.62052117263843
